logged_on,edit_code,passage_id,line_change,edit_state,description
2026-08-18,ED-01,PS-01,4,ACCEPTED,Restore the epigraph dropped from the draft
2026-08-18,ED-02,PS-03,-3,ACCEPTED,Tighten the exchange on the station platform
2026-08-19,ED-03,PS-04,-22,ACCEPTED,Cut the dream sequence
2026-08-19,ED-04,PS-06,6,DEFERRED,Expand Wren's letter
2026-08-20,ED-05,PS-07,-21,ACCEPTED,Cut the harbour flashback
2026-08-20,ED-06,PS-08,2,ACCEPTED,Restore the two lines of the ferry song
2026-08-21,ED-07,PS-10,14,DEFERRED,Add a coda to the market scene
2026-08-21,ED-08,PS-11,-4,ACCEPTED,Trim the weather paragraph
2026-09-08,ED-01,PS-01,6,ACCEPTED,Restore the epigraph dropped from the draft
2026-09-09,ED-03,PS-04,-22,DEFERRED,Cut the dream sequence
2026-09-10,ED-07,PS-10,14,ACCEPTED,Add a coda to the market scene
2026-09-11,ED-09,PS-07,-5,ACCEPTED,Drop the second foghorn paragraph
